station_id,venue_count,avg_rating,avg_reviews
0a7c87358ddb6f559572c8f955f78b6b,20,4.345000000000001,198.7
0aca46eec30a812600d7301e3a20bbdb,20,4.305,27.9
0aea5f45651fb70965abe21905a4f66e,20,4.3549999999999995,199.75
0aedabffd74cb17524a08ef1f6b336f9,20,4.38,268.65
0b43d5b25082fcf948a599c9c2f004ad,20,4.470000000000001,13.25
0be6c84da0a9a2f60bf622c28f4edd84,20,4.345000000000001,118.95
0bfb7384b255c89b94b68ee5f227a792,20,3.69,11.35
0c2a4ecc9f51dd227f050651ae2dd6fe,20,3.3549999999999995,7.5
0c39a4c5f95f416e549a6566c8cd770f,20,4.029999999999999,29.5
0c39d8324b1c229164d989f1213e0c9c,20,3.285,3.5
0c4d11a853835ae0b81cedba3bbb0d4b,20,3.6350000000000002,8.25
0c9cd68aa1bd69a080463ce7f302337c,20,4.4799999999999995,383.6
0cc110260f90b08675fba8b904866c5c,20,4.015,32.2
0ce40af037ac8bf1d3716fcb53e235b1,20,4.279999999999999,217.85
0cec55982f31df0229705d5ca30e992d,20,4.38,349.15
0d1897d24311f82d67d5b84eb21b9c12,20,4.3,82.65
0d4d6ab1ff41bf892ecbb0e09a8e2f40,20,4.0649999999999995,32.45
0d4eff17975078517d6779b678d99fa3,20,4.35,145.45
0d5e983afcb3ea84258de6eb06949510,20,3.7649999999999997,13.5
0d85a8b42758ac57f207a20d58279fba,20,4.09,8.35
0d8efe4b37feb8a21151875bed21430d,20,4.4350000000000005,24.55
0da087166a30e11c66a497de37fbf4e5,20,4.2299999999999995,88.45
0daffa0f2290fcf3a58b579d914c16cc,20,4.35,148.4
0dc51758d1fa3f735ae6aceec2ebbccd,20,4.25,37.6
0dcaca1327f9e25a991cda59b2f33ac5,20,3.6,11.3
0e03e4efa8fdf0cb2286f9e3c23ba941,20,4.005,29.8
0e3974640bb81dad6105ccde34c49e0d,20,4.075,32.15
0e3b6af52859bc94cc7117506bfd08c7,20,4.285,92.8
0ee14b7beea8a04c2f0e034ea91f5c02,20,4.34,23.15
0f6c329d4b1698d14850df135455d421,20,4.325,282.75
0fa99359bc75b0df44be4a84a6f10cbb,20,4.485,334.45
0fccbe1496179787fe01bb64e51778da,20,4.3549999999999995,186.55
1013ec013026d8e51b4e126c5c72c5c8,20,4.5,259.35
107a8ed5f45eb111d96ce7f4a370c807,20,4.1850000000000005,28.35
1082604365572209e09718f6690249b1,20,3.3549999999999995,4.35
108c6680e8a6c617b309578a1cab29c9,5,1.6600000000000001,1.0
10a32e00bc65e9fb33eef10d6e3e75e9,20,3.71,8.7
112442aab81079901512a6946b62585f,20,4.3549999999999995,25.95
114edd30245c9b7ae8dedcc2d22fc398,20,3.3649999999999998,5.7
11b771d4db8d077fa79c2e42853f2339,20,4.135,11.5
11d363d4c7897a1b189b265e387fb871,9,2.3333333333333335,1.4444444444444444
11e59e3e7821d495304f9959cac4209b,20,4.470000000000001,280.9
1206ac092d556059549010db47abaf52,20,4.285,188.3
126735d125a23869138e84406c649155,20,3.12,5.15
12d398be5955fed8787b107d04ba8cab,20,4.3100000000000005,160.9
13644fc87d5bae7c6738fba71a62d02c,20,4.235,27.7
137a01aa1e312a4f5c8c87fa2c2703cb,20,4.1899999999999995,30.15
1423a9915aee85faaf67acb0b093723d,20,4.32,268.05
142fb76554296a860f446517893598f9,20,3.3899999999999997,8.35
14313ece3fba0c9be8615f400fd8980c,20,4.0600000000000005,37.0
1446c8adecbae238d6ccc342d46e604b,20,4.445,410.8
144e4a6df61af70397225152a9bd64cd,20,4.205,36.9
1461a02f003268b78a89d6ad0ac551dd,20,3.4450000000000003,5.45
1469c136bd5b7cecb99703bfdeaeda8b,20,4.405,310.4
148bf4b9682ac2b13fc0bb23e549c1c1,20,4.3,230.35
1522eb2ccd25f0afd8347e3766ae3e45,20,4.295,202.3
15574ce25f4b46ed467bf54770f87b76,20,2.95,7.4
